building_id,location_rating_MIKRAT_W,location_rating_IMAGE_W,location_rating_FZ_W,location_rating_DL_W,location_rating_NASE_W_DOM,location_rating_FGFRQZ
826,3.8,4.1,4.0,3.0,9.0,1.0
16314,4.3,4.1,3.0,5.0,9.0,1.0
3261,3.6,3.0,4.0,2.0,5.0,1.0
747,3.6,3.0,4.1,4.0,2.0,1.0
1853,3.4,3.0,4.0,4.0,3.0,1.0
927,3.5,3.0,4.0,2.9,9.0,1.0
17964,3.3,4.0,3.0,5.0,,4.0
389,4.0,4.1,3.9,5.0,9.0,3.0
6436,4.2,4.1,3.0,5.0,9.0,3.0
6113,3.7,4.0,2.0,3.0,9.0,1.0
798,3.5,3.0,4.9,4.0,9.0,3.0
583,3.8,3.9,4.0,2.9,5.0,1.0
1777,2.9,1.1,3.9,4.0,2.0,1.0
2518,3.3,4.1,4.0,2.0,9.0,1.0
7445,2.4,1.0,3.0,1.1,3.0,1.0
704,3.6,4.0,4.0,2.0,9.0,1.0
1364,3.0,3.0,3.9,3.0,9.0,1.0
2513,3.4,4.1,4.0,2.0,9.0,1.0
247,3.5,4.0,4.0,3.9,9.0,3.0
1388,2.8,1.2,3.1,2.0,3.0,1.0
1427,3.8,4.0,4.9,4.1,9.0,2.0
14965,3.1,2.9,4.0,4.0,3.0,1.0
1557,2.4,1.2,4.0,1.0,4.0,1.0
2015,2.9,1.2,4.0,2.0,,1.0
1532,3.7,2.9,4.0,2.9,3.0,1.0
2181,4.4,4.0,4.0,5.0,9.0,1.0
7473,4.1,4.0,5.0,3.9,6.0,1.0
3053,3.3,4.0,3.0,5.0,9.0,5.0
2152,4.7,4.0,4.9,4.0,9.0,1.0
1386,3.6,3.0,5.0,5.0,4.0,1.0
385,4.0,4.1,3.0,5.0,9.0,2.0
6102,4.0,4.0,3.0,5.0,9.0,4.0
1822,3.4,3.0,2.0,3.0,4.0,1.0
384,4.6,4.1,3.0,4.0,9.0,2.0
2400,3.0,3.0,3.0,2.0,8.0,1.0
3022,2.6,1.2,4.1,4.9,4.0,1.0
15837,3.5,3.0,2.9,3.1,8.0,1.0
994,3.1,4.0,3.1,2.0,9.0,1.0
